,url,Notes,Nose,Palate,Finish,Country,Region,Distillery / Brand,Bottler,Age,Distillation Date,Style,Bottling Date,Alcohol,Volume
Arran Sauternes Cask Finish,https://www.masterofmalt.com/whiskies/arran/arran-sauternes-cask-finish-whisky/,," Initially acacia honey but then opening up to apricots, bananas and pears. With time a floral elegance presents itself.", Sweet but cut with warm spice. Lemon zest announces itself with the addition of water and a slight saltiness plays with this dram's sweet character.," Seville orange, Sauternes and an ounce of honey in a crisp finish.",Scotch Whisky,Island Whisky,Arran,Arran,,,Single Malt Whisky,,50.0%,70cl
Old Pulteney Navigator,https://www.masterofmalt.com/whiskies/pulteney/old-pulteney-navigator-whisky/,," Sweet, succulent apple lashings with dollops of chocolate and vanilla.", Drips of honey and syrup-y orange. ," A salty finish sneaks up from nowhere, very nice.",Scotch Whisky,Highland Whisky,Pulteney,Pulteney,,,Single Malt Whisky,,46.0%,70cl
Tomintoul 14 Year Old,https://www.masterofmalt.com/whiskies/tomintoul-14-year-old-whisky/,," Gentle, very subtle. Warm pastries, apple blossom, hints of toffee, citrus, gentle fruit."," Vanilla, creamy, more blossom, barley."," Good length, spices.",Scotch Whisky,Speyside Whisky,Tomintoul,Tomintoul,14 year old Whisky,,Single Malt Whisky,,46.0%,70cl
Isle of Jura 12 Year Old,https://www.masterofmalt.com/whiskies/isle-of-jura/isle-of-jura-12-year-old-whisky/,," Nutty barley, white wine, cinnamon, melon."," Chocolate fudge, pear, a portion of peppery malt tucked away.", Sherbet lemons and sultanas.,Scotch Whisky,Island Whisky,Isle of Jura,Isle of Jura,12 year old Whisky,,Single Malt Whisky,,40.0%,70cl
Highland Park 21 Year Old 1996 (cask 12546) - Xtra Old Particular (Douglas Laing),https://www.masterofmalt.com/whiskies/highland-park/highland-park-21-year-old-1996-cask-12546-xtra-old-particular-douglas-laing-whisky/,"Immediately charred wood on the nose developing to burnt buttered toast and citrus zest. The palate shows a slight earthiness with candied orange and warming spice (cinnamon), and the finish lingers beautifully with salted caramel, rock pools and home baking.",,,,Scotch Whisky,Island Whisky,Highland Park,Douglas Laing,21 year old Whisky,September 1996,Single Malt Whisky,June 2018,48.3%,70cl
Benromach Cask Strength 2008 (bottled 2019),https://www.masterofmalt.com/whiskies/benromach/benromach-cask-strength-whisky/,," Loads of sherry aromas alongside toasty oak, sweet vanilla custard and stewed orchard fruit, with a balanced light herbaceous undertone."," Black pepper and fresh strawberries intertwine, with creamy fruit and nut milk chocolate, banana bread, smoked orange peel and waxy citrus.", More of that milk chocolate lingers with salted caramel and bonfire smoke.,Scotch Whisky,Speyside Whisky,Benromach,Benromach,,2008,Single Malt Whisky,2019,57.9%,70cl
Isle Of Jura 18 Year Old,https://www.masterofmalt.com/whiskies/jura/isle-of-jura-18-year-old-whisky/,," Cinnamon, dried berries, Wine Gums, hickory."," Brandied cherries, Turkish delight, milky coffee and blackcurrant jam."," Chocolate chip cookies, a touch of hay, orange oil.",Scotch Whisky,Island Whisky,Isle of Jura,Isle of Jura,18 year old Whisky,,Single Malt Whisky,,44.0%,70cl
Deanston 15 Year Old Organic Whisky,https://www.masterofmalt.com/whiskies/deanston/any-distillery-bottling/,," Buttery malt and cornflakes, with underlying cut grass fragrance."," Soft fruity notes develop on the palate - think apricot, quince and just a hint of grapefruit.", Lingering honey and marmalade.,Scotch Whisky,Highland Whisky,Deanston,Deanston,15 year old Whisky,,Single Malt Whisky,,46.3%,70cl
Royal Brackla 16 Year Old,https://www.masterofmalt.com/whiskies/royal-brackla/royal-brackla-16-year-old-whisky/,," Ripe red apple at first before thick crème brûlée takes charge with apricot, custard and a little Buttercup cough syrup."," Spicy, caramelised apples and orchard fruit, vanilla and fresh black cherries.", Rich cocoa and baking spices.,Scotch Whisky,Speyside Whisky,Brackla,Brackla,16 year old Whisky,,Single Malt Whisky,,40.0%,70cl
Bunnahabhain 37 Year Old 1980 - Single Cask (Master of Malt),https://www.masterofmalt.com/whiskies/bunnahabhain/bunnahabhain-37-year-old-1980-single-cask-master-of-malt-whisky/,," Buttery toast, orange blossom, toffee and a pinch of tobacco."," Honey and milk chocolate, a sprinkle of salt and hints of oak.", Malt flavours come through with a lasting caramel sweetness on the finish.,Scotch Whisky,Islay Whisky,Bunnahabhain,Master of Malt,37 year old Whisky,February 1980,Single Malt Whisky,January 2018,41.3%,70cl
Glen Keith Distillery Edition,https://www.masterofmalt.com/whiskies/glen-keith/glen-keith-distillery-edition-whisky/,, Sweet and crisp with orchard fruits and a malty character. Toffee apples and banana skins linger.," Through oaked dryness and an oily note comes vanilla sweetness with helpings of apricot yogurt, dried mango and nectarines. Suggestions of chocolate pudding, a slight grassiness and a little spice form the backdrop."," Subtle floral notes and new oak, with a little honey.",Scotch Whisky,Speyside Whisky,Glen Keith,Glen Keith,,,Single Malt Whisky,,40.0%,70cl
Allt-á-Bhainne 21 Year Old (That Boutique-y Whisky Company),https://www.masterofmalt.com/whiskies/allt-a-bhainne/allt-a-bhainne-21-year-old-that-boutiquey-whisky-company-whisky/,," Mango, pineapple and passionfruit juice, soft banana foam sweets lead with rich earthy vanilla and charred oak in support."," Pineapple cubes, spicy honey and boiled orange sweets. A little rhubarb is there too, sprinkled in prickly ginger powder.", Chewy barley and a lingering note of tropical fruit in ginger syrup.,Scotch Whisky,Speyside Whisky,Allt-á-Bhainne,That Boutique-y Whisky Company,21 year old Whisky,,Single Malt Whisky,,50.2%,50cl
Isle of Jura 21 Year Old,https://www.masterofmalt.com/whiskies/isle-of-jura/isle-of-jura-21-year-old-whisky/,," Full and fragrant. Notes of toffee and fudge, a touch of vanilla with a spread of sweet nuts. There are honeyed notes creeping in with tones Tokaji and port."," Good body with notes of winter cake, damson jam, marzipan and an uprising of cooked fruit with winter spice and fudge.", Medium-length with notes of chewy oak tannins.,Scotch Whisky,Island Whisky,Isle of Jura,Isle of Jura,21 year old Whisky,,Single Malt Whisky,,44.0%,70cl
Strathmill 12 Year Old - Flora and Fauna,https://www.masterofmalt.com/whiskies/strathmill-12-year-old-whisky/,"The nose is quite soft yet very fruity. A hint of grassy greenness with a nuttiness, there are notes of cut herbs and apples, hints of cut hay. The palate is silken smooth in delivery. Notes of winter spice and vanilla custard, there is a nutty oiliness which carries everything gentle. The finish is soft and slightly herbal with a peppered delivery.",,,,Scotch Whisky,Speyside Whisky,Strathmill,Strathmill,12 year old Whisky,,Single Malt Whisky,,43.0%,70cl
Tomatin Legacy,https://www.masterofmalt.com/whiskies/tomatin/tomatin-legacy-whisky/,," Lemon, panatella and pine forest. Slightly green with vanilla.", Cracked pepper and sweet barley with pineapple cube sweets. Waves of warming oak beneath., Sweet but peppered.,Scotch Whisky,Highland Whisky,Tomatin,Tomatin,,,Single Malt Whisky,,43.0%,70cl
Glenrothes 26 Year Old 1990 (cask 35481) - The Single Malts of Scotland,https://www.masterofmalt.com/whiskies/glenrothes/glenrothes-26-year-old-1990-cask-35481-the-single-malts-of-scotland-whisky/,," Honeycomb, sodabread, pine resin and dark rum."," Refresher bars, iced buns, juicy sultanas, barley and lavender.", Slightly hoppy. ,Scotch Whisky,Speyside Whisky,Glenrothes,The Single Malts of Scotland,26 year old Whisky,12 Nov 1990,Single Malt Whisky,27 Mar 2017,44.5%,70cl
Scapa Skiren,https://www.masterofmalt.com/whiskies/scapa/scapa-skiren-whisky/,," Runny honey and fresh cream. Hints of apple and a touch of anise. Maybe some crushed nuts, too..."," Continued honey warmth and richness. Sparks of juicy pear and lemon peel. Touches of oak develop further on, bringing some balancing spice."," Medium length and a bit sweet, with oak lasting too.",Scotch Whisky,Island Whisky,Scapa,Scapa,,,Single Malt Whisky,,40.0%,70cl
Wolfburn Aurora Single Malt,https://www.masterofmalt.com/whiskies/wolfburn/wolfburn-aurora-single-malt-whisky/,," Almonds and pecans, with a wave of sweet, sticky Sherry notes."," Raisins, currants, more mixed nuts and fresh barley.", Lingering Sherried spice on the finish.,Scotch Whisky,Highland Whisky,Wolfburn,Wolfburn,,,Single Malt Whisky,,46.0%,70cl
Glenfiddich 19 Year Old - Age of Discovery Red Wine Cask Finish,https://www.masterofmalt.com/whiskies/glenfiddich/glenfiddich-19-year-old-age-of-discovery-red-wine-cask-finish-whisky/,,,,,,,,,,,,,,
Isle Of Jura Seven Wood,https://www.masterofmalt.com/whiskies/isle-of-jura/isle-of-jura-seven-wood-whisky/,," Nutmeg, strawberry jam on toast, Brazil nuts."," Lemon peel, sawdust, apricot and cooked peach.", Heavy vanilla. A hint of smoke develops.,Scotch Whisky,Island Whisky,Isle of Jura,Isle of Jura,,,Single Malt Whisky,,42.0%,70cl
Bruichladdich 28 Year Old 1990 (cask 169) - Cask Strength Collection (Signatory),https://www.masterofmalt.com/whiskies/bruichladdich/bruichladdich-28-year-old-1990-cask-169-cask-strength-collection-signatory-whisky/,," Dried fruit and chocolate shavings, with underlying caramel richness. A hint of coffee, too."," Waxy orange, rosewater, honeydew melon, cinnamon, white pepper, more toffee and chocolate.", Lasting raisin sweetness and earthy spices.,Scotch Whisky,Islay Whisky,Bruichladdich,Signatory,28 year old Whisky,26 Sep 1990,Single Malt Whisky,08 Feb 2019,52.1%,70cl
Tomintoul 23 Year Old 1995 (cask 16/1) - Cask Strength Collection (Signatory),https://www.masterofmalt.com/whiskies/tomintoul/tomintoul-23-year-old-1995-cask-161-cask-strength-collection-signatory-whisky/,," Toffee, a kick of ginger, oak spice, and rich dark fruit."," Rich and fruity, a good helping of dried fruit alongside vanilla pod and dark cherry jam."," Gently spiced, with butterscotch, raisins and toasted oak.",Scotch Whisky,Speyside Whisky,Tomintoul,Signatory,23 year old Whisky,01 May 1995,Single Malt Whisky,19 Feb 2019,53.6%,70cl
Glengoyne 17 Year Old (That Boutique-y Whisky Company),https://www.masterofmalt.com/whiskies/glengoyne/glengoyne-17-year-old-that-boutiquey-whisky-company-whisky/,," Full-bodied and filled with buttery goodness, the nose begins with lots of resinous sherried funk and thick, runny toffee. Then comes fruit: dates, sultana and red apples, with polished wood floors and ripe barley. Star anise and charred red pepper provide some intriguing notes underneath."," Plenty of dark fruits, blackberry compote mostly, with Armagnac-like pruniness and a little orange marmalade in support. Christmas cake, a little creamy nuttiness and some supple tannins build in the backdrop."," Dry, with roasted spices and a little caramel.",Scotch Whisky,Highland Whisky,Glengoyne,That Boutique-y Whisky Company,17 year old Whisky,,Single Malt Whisky,,49.1%,50cl
Glencadam 13 Year Old - The Reawakening,https://www.masterofmalt.com/whiskies/glencadam/glencadam-13-year-old-the-reawakening-whisky/,, Grassy malt leading into vanilla-rich fudge and lemon oil., Juicy pear and grapefruit. A touch of rye bread and marmalade. Peppery at points., Lingering cinnamon and poached fruit warmth.,Scotch Whisky,Highland Whisky,Glencadam,Glencadam,13 year old Whisky,,Single Malt Whisky,,46.0%,70cl
The GlenDronach 12 Year Old Gift Pack with Walker Slater Hip Flask,https://www.masterofmalt.com/whiskies/glendronach/the-glendronach-12-year-old-gift-pack-with-walker-slater-hip-flask-whisky/,," Rich cereals, struck match, raisin, cinnamon, caramelised sugar. Opens with some sweeter PX and lots of delicious raw ginger before becoming creamier with hazelnuts."," Fruits, peels, buttery. Pain au chocolat, a little marmalade on toast before becoming firmer and nuttier with spiced raisins.", Smoky toffee and nut brittle.,Scotch Whisky,Highland Whisky,GlenDronach,GlenDronach,12 year old Whisky,,Single Malt Whisky,,43.0%,70cl
Bruichladdich 1985/32 - Hidden Glory,https://www.masterofmalt.com/whiskies/bruichladdich/bruichladdich-1985-32-hidden-glory-whisky/,," Honey'd barley dusted with cacao. Fresh orange and lime, plus a little hint of honeydew melon. A suggestion of savoury basil..."," Coconut ice cream with chocolate sauce, plum grapes, oak-y cinnamon and waxy pine.", A lingering sweetness of peach and pear.,Scotch Whisky,Islay Whisky,Bruichladdich,Bruichladdich,32 year old Whisky,1985,Single Malt Whisky,,48.7%,70cl
Dalwhinnie Winter's Gold,https://www.masterofmalt.com/whiskies/dalwhinnie/dalwhinnie-winters-gold-whisky/,," Oak spice, pear skins, golden syrup and gristy malt. A touch of peach polish and chewy, sticky toffee. From the freezer it's fruitier, more green apple, apple sauce, toffee apple, sultana, even redcurrant."," Very honeyed with warming peppery spices, Big Red cinnamon. From the freezer the honey is kept in check much more, as are the spices. Plenty of apple flesh and orange peel."," Allspice, nutmeg and smoky malt. From the freezer the finish is more about the spicy cinnamon and peppercorn heat that's found on the palate at room temperature.",Scotch Whisky,Highland Whisky,Dalwhinnie,Dalwhinnie,,,Single Malt Whisky,,43.0%,70cl
Smokehead High Voltage,https://www.masterofmalt.com/whiskies/smokehead/smokehead-high-voltage-whisky/,," Burnt biscuits, dried earth and a kick of black pepper."," Oily barley and intense campfire smoke, with a hint of brown sugar underneath."," Sea salt, oat cakes and smoked paprika.",Scotch Whisky,Islay Whisky,Smokehead,Smokehead,,,Single Malt Whisky,,58.0%,70cl
Highland Park Dark Origins,https://www.masterofmalt.com/whiskies/highland-park/highland-park-dark-origins-whisky/,," Dusty baking spices and cocoa at first, cinnamon, vanilla, dates. Coffee cream Revels (possibly a couple of the orange ones too), a touch of blackcurrant/liquorice, plus butterscotch and an interplay between milk and dark chocolate."," Sweet, fragrant peat emerges with nutty melted milk chocolate and a little orange alongside some pastries."," Long and sweet, a little dry chocolate, just a hint of that heather smoke, then salivating.",Scotch Whisky,Island Whisky,Highland Park,Highland Park,,,Single Malt Whisky,,46.8%,70cl
Port Askaig 8 Year Old,https://www.masterofmalt.com/whiskies/port-askaig/port-askaig-8-year-old-whisky/,," Charcoal, salted crisps and a good squeeze of lemon."," Soft salted caramel brings a sweetness to the palate, with waves of coastal peat smoke crashing underneath."," Medium length, with a hot kick of peppercorn.",Scotch Whisky,Islay Whisky,Port Askaig,Port Askaig,8 year old Whisky,,Single Malt Whisky,,45.8%,70cl
Balblair 12 Year Old,https://www.masterofmalt.com/whiskies/balblair/balblair-12-year-old-whisky/,," Waxy peels, sponge cake, soft cedar earthiness and some nutmeg."," Juicy red apple and cooked pear, with layers of honey and barley developing."," Honey continues, with some milky tea and sultana notes for company.",Scotch Whisky,Highland Whisky,Balblair,Balblair,12 year old Whisky,,Single Malt Whisky,,46.0%,70cl
Bowmore 26 Year Old (cask 27935) - The Lowest Tide (Woolf Sung),https://www.masterofmalt.com/whiskies/bowmore/bowmore-26-year-old-cask-27935-the-lowest-tide-woolf-sung-whisky/,,,,,,,,,,,,,,
Balvenie 14 Year Old Peated Triple Cask,https://www.masterofmalt.com/whiskies/balvenie/balvenie-14-year-old-peated-triple-cask-whisky/,," Sweet, malty aromas with a gentle earthy smokiness in the background. Vanilla fudge and cinnamon."," Golden syrup contrasted with smoke. Sharper citrus notes alongside creamy vanilla and honey, fade into warming cinnamon and ginger spices.", A lingering finish of delicate smoke and spicy honeyed sweetness.,Scotch Whisky,Speyside Whisky,Balvenie,Balvenie,14 year old Whisky,,Single Malt Whisky,,48.3%,70cl
Glenfarclas 8 Year Old ,https://www.masterofmalt.com/whiskies/glenfarclas/glenfarclas-8-year-old-whisky/,," Diced-almond-topped apple pie, cinnamon, hay, honey and raisin."," Nutty and buttery, with a little more grassiness too. Grows slightly chocolatey.", Vanilla fudge dotted with raisins. Red apple slices.,Scotch Whisky,Speyside Whisky,Glenfarclas,Glenfarclas,8 year old Whisky,,Single Malt Whisky,,40.0%,70cl
Benrinnes 11 Year Old 2007 (casks 306483 & 306484) - Signatory,https://www.masterofmalt.com/whiskies/benrinnes/benrinnes-11-year-old-2007-casks-306483-and-306484-signatory-whisky/,," Walnut and banana loaf, roasted coffee bean, salted peanuts and orange oil."," Oak spice alongside cinnamon and nutmeg, with toffee, sweet malt and fresh hay.", Caramelised brown sugar and gingerbread.,Scotch Whisky,Speyside Whisky,Benrinnes,Signatory,11 year old Whisky,19 Jun 2007,Single Malt Whisky,07 Feb 2019,43.0%,70cl
Highland Park 17 Year Old - The Dark,https://www.masterofmalt.com/whiskies/highland-park/highland-park-17-year-old-the-dark-whisky/,," Cinnamon sticks, pine and ginger, with layers of chocolate-chip cookie dough and fruitcake bringing sweetness."," Plump raisins and roasted coffee beans, with light wisps of heather-y smoke appearing later on."," Mint chocolate ice cream, prunes, almonds and forest floor richness.",Scotch Whisky,Island Whisky,Highland Park,Highland Park,17 year old Whisky,,Single Malt Whisky,,52.9%,70cl
Secret Distillery #1 9 Year Old (That Boutique-y Whisky Company),https://www.masterofmalt.com/whiskies/that-boutiquey-whisky-company/secret-distillery-1-that-boutiquey-whisky-company-whisky/,," Intensely Sherried - massive waves of Oloroso richness, with a good whack of barley still shining through."," Raisins soaked in spiced rum, with a little bit of black liquorice lasting."," Jammy Dodgers and buttered malt loaf, with a spicy hint of cardamom right at the end.",Scotch Whisky,Scotch Whisky,That Boutique-y Whisky Company,That Boutique-y Whisky Company,9 year old Whisky,,Single Malt Whisky,,51.7%,50cl
Islay #4 11 Year Old (That Boutique-y Whisky Company),https://www.masterofmalt.com/whiskies/that-boutiquey-whisky-company/islay-4-that-boutiquey-whisky-company-whisky/,," Apple wood on a charcoal fire brings a herbal, sweet smokiness through which strawberry, rhubarb and citric brightness emerge. Floral honey, fluffy Scotch pancakes and a little dark fruit emerge."," More bittersweet charred woodsmoke, lemon peel and dried pineapple initially, with sweet tobacco and green grapes developing."," Dry, smoky and lingering.",Scotch Whisky,Scotch Whisky,That Boutique-y Whisky Company,That Boutique-y Whisky Company,11 year old Whisky,,Single Malt Whisky,,48.8%,50cl
Longmorn Distiller's Choice,https://www.masterofmalt.com/whiskies/longmorn/longmorn-distillers-choice-whisky/,," Citrus and toffee apples, caramelised pears, stem ginger and other subtle spices."," Creamy malt, a touch of praline, caramel and chocolate orange.", Sweet barley and oak spice.,Scotch Whisky,Speyside Whisky,Longmorn,Longmorn,,,Single Malt Whisky,,40.0%,70cl
Auchroisk 18 Year Old 2000 (cask 12803) - Old Particular (Douglas Laing),https://www.masterofmalt.com/whiskies/auchroisk/auchroisk-18-year-old-2000-cask-12803-old-particular-douglas-laing-whisky/,," Roasted hazelnut, fresh honey, buttered crumpets and anise."," Apple and gooseberry, more buttery (much more savoury than before), digestive biscuits.", Walnut and cinnamon sticks.,Scotch Whisky,Speyside Whisky,Auchroisk,Douglas Laing,18 year old Whisky,August 2000,Single Malt Whisky,September 2018,48.4%,70cl
Laphroaig Brodir,https://www.masterofmalt.com/whiskies/laphroaig/laphroaig-brodir-whisky/,," Fresh honey drizzled over dried tropical fruit, followed by a salty sea breeze. "," Quite refreshing and light (for a Laphroaig). Continued fruitiness on the palate, somewhat juicier than the nose might suggest. Smoke pops up a little later. ", Rich smoke on the finish grows and grows. ,Scotch Whisky,Islay Whisky,Laphroaig,Laphroaig,,,Single Malt Whisky,,48.0%,70cl
SPEY Chairman’s Choice,https://www.masterofmalt.com/whiskies/speyside/spey-chairmans-choice-whisky/,," Apricots and marmalade, with a slight touch of buttered toast."," Creamy vanilla, another juicy burst of orange-y sweetness, upside-down cake.", Subtly spicy on the finish - Christmas cake filled with stem ginger and cinnamon-style.,Scotch Whisky,Speyside Whisky,Speyside,Speyside,,,Single Malt Whisky,,40.0%,70cl
Cardhu 12 Year Old,https://www.masterofmalt.com/whiskies/cardhu-12-year-old-whisky/,," Good body, decent sweetness, richness. Streaks of smoke, apple peels, bruised pears."," Smooth, rounded, gentle sweetness, soft peat. A little smoke whispers sweet nothings."," Long, dry smoke, malty touch of peat.",Scotch Whisky,Speyside Whisky,Cardhu,Cardhu,12 year old Whisky,,Single Malt Whisky,,40.0%,70cl
Auchentoshan The Bartender's Edition,https://www.masterofmalt.com/whiskies/auchentoshan/auchentoshan-the-bartenders-edition-whisky/,," Dried apricot, milk chocolate, honey and green tobacco leaf."," Delicate cherry blossom and buttery brioche, undercut by zesty notes of ginger, resulting in an edgy and expanding whisky.", Longlasting warmth.,Scotch Whisky,Lowland Whisky,Auchentoshan,Auchentoshan,,,Single Malt Whisky,,47.0%,70cl
Glen Scotia Victoriana Cask Strength,https://www.masterofmalt.com/whiskies/glen-scotia/glen-scotia-victoriana-cask-strength-whisky/,," Elegantly oak-y, with notes of toasty sugar and citrus peels."," More fruit forward on the nose, with dark berry juiciness at its core.", Orchard fruits dusted with dark chocolate.,Scotch Whisky,Campbeltown Whisky,Glen Scotia,Glen Scotia,,,Single Malt Whisky,,54.8%,70cl
Wolfburn Langskip,https://www.masterofmalt.com/whiskies/wolfburn/wolfburn-langskip/,," Demerara sugar, gingerbread, floral malt, white pepper and sugared almonds", Dried fruit begins to take control on the palate - think sultana and apricot. Still enjoyably nutty with walnut and macadamia. A good helping of nutmeg and stem ginger gives it some heat., Last toffee apple sweetness and black pepper.,Scotch Whisky,Highland Whisky,Wolfburn,Wolfburn,,,Single Malt Whisky,,58.0%,70cl
Old Pulteney 1983 Vintage,https://www.masterofmalt.com/whiskies/pulteney/old-pulteney-1983-vintage-whisky/,," Treacle, nectarine, cacao, a hint of zesty mango, sherry and sea salt."," Salted caramel brownie, raisin, ginger snaps, star anise, hickory, cardamom.", Mature oak sticks around with waves of sherry and honey.,Scotch Whisky,Highland Whisky,Pulteney,Pulteney,,1983,Single Malt Whisky,,46.0%,70cl
Caol Ila Unpeated 15 Year Old (Special Release 2018),https://www.masterofmalt.com/whiskies/caol-ila/caol-ila-unpeated-15-year-old-special-release-2018-whisky/,," Opens with marmalade-laden buttery toast, milk chocolate and fresh orange notes, before red cherry, strawberry and raisin comes through. Lashes of vanilla and a suggestion of spearmint, too."," Leads with more of that creamy chocolate, fruity yoghurt and honey. Peach is in there too, and in with all the oiliness is a pine-like quality."," Yoghurt-covered almonds with some liquorice and, yes, some distant smoke.",Scotch Whisky,Islay Whisky,Caol Ila,Caol Ila,15 year old Whisky,,Single Malt Whisky,,59.1%,70cl
Springbank 21 Year Old 1996 - Single Cask (Master of Malt),https://www.masterofmalt.com/whiskies/springbank/springbank-21-year-old-1996-single-cask-master-of-malt-whisky/,," Through aromas of bitter marmalade, blueberries and earthy malt comes ginger in syrup and Werther’s Originals. Salted gammon and salami tones emerge with thick BBQ char and burnt festive spice creating a meaty, smoky undertone."," Black fruits, dark chocolate and toasted nut appear initially. The spice is more refined, with aromatic cinnamon, among some wood smoke. Tanned leather, mulch and oaky tannins blend with liquorice and old Chartreuse underneath supplying the classic funky distillery character."," Dry, earthy and with a touch of salinity and jammy dried fruit.",Scotch Whisky,Campbeltown Whisky,Springbank,Master of Malt,21 year old Whisky,22 Nov 1996,Single Malt Whisky,15 May 2018,55.2%,70cl
Aberlour 16 Year Old Double Cask Matured,https://www.masterofmalt.com/whiskies/aberlour/aberlour-16-year-old-double-cask-matured-whisky/,,,,,,,,,,,,,,
Highland Park 17 Year Old - The Light,https://www.masterofmalt.com/whiskies/highland-park/highland-park-17-year-old-the-light-whisky/,," Vibrant citrus notes up front, before a wave of green apple and sawdust notes arrive."," Tangy mango, pear drops, vanilla-rich malt, a subtle hint of smoke (but not much!), pink peppercorn."," Resinous oak and waxy peels, with a touch of forest floor earthiness.",Scotch Whisky,Island Whisky,Highland Park,Highland Park,17 year old Whisky,,Single Malt Whisky,,52.9%,70cl
Scapa Glansa,https://www.masterofmalt.com/whiskies/scapa/scapa-glansa-whisky/,," Fruity sweet notes of soft peach, pineapple, vanilla intermingled with subtle bonfire smoke.", Peach and ripe flavours and creamy caramel toffee and vanilla balanced perfectly with soft smoke., Very long with a markedly smoky finish.,Scotch Whisky,Island Whisky,Scapa,Scapa,,,Single Malt Whisky,,40.0%,70cl
Linkwood 12 Year Old - Flora and Fauna,https://www.masterofmalt.com/whiskies/linkwood-12-year-old-whisky/,," Quite green, thick. Herbal, nutty, oily. Almond."," Medium, oily. Honey, pine oil. Malt, almond."," Quite long, dry, touch of anise.",Scotch Whisky,Speyside Whisky,Linkwood,Linkwood,12 year old Whisky,,Single Malt Whisky,,43.0%,70cl
Laphroaig 28 Year Old ,https://www.masterofmalt.com/whiskies/laphroaig/laphroaig-28-year-old-whisky/,,,,,,,,,,,,,,
Cask Orkney 18 Year Old (A.D. Rattray),https://www.masterofmalt.com/whiskies/ad-rattray/cask-orkney-18-year-old-a-d-rattray-whisky/,," Beeswax, salted caramel, flapjacks and buttery sultana."," Continued notes of baked goods and caramel, now paired with a light waft of sea spray and sharp citrus.", Whispers of old oak and oily walnut.,Scotch Whisky,Scotch Whisky,A. D. Rattray,A. D. Rattray,18 year old Whisky,,Single Malt Whisky,,46.0%,70cl
The Glenrothes 10 Year Old - Soleo Collection,https://www.masterofmalt.com/whiskies/glenrothes/glenrothes-10-year-old-soleo-collection-whisky/,"Vanilla, shortbread and lemon peel.",,,,Scotch Whisky,Speyside Whisky,Glenrothes,Glenrothes,10 year old Whisky,,Single Malt Whisky,,40.0%,70cl
The Glenrothes 12 Year Old - Soleo Collection,https://www.masterofmalt.com/whiskies/glenrothes/glenrothes-12-year-old-soleo-collection-whisky/,"Vanilla, melon and cinnamon.",,,,Scotch Whisky,Speyside Whisky,Glenrothes,Glenrothes,12 year old Whisky,,Single Malt Whisky,,40.0%,70cl
Highland Park 16 Year Old Wings Of The Eagle,https://www.masterofmalt.com/whiskies/highland-park/highland-park-16-year-old-wings-of-the-eagle-whisky/,," Shortbread, waxy orange peels, pine resin and a subtle waft of hickory smoke."," Smoke remains soft, letting notes of vanilla and mixed nuts lead the way."," Almond butter, a touch of tobacco, crunchy brown sugar.",Scotch Whisky,Island Whisky,Highland Park,Highland Park,16 year old Whisky,,Single Malt Whisky,,44.5%,70cl
Balvenie 25 Year Old Single Barrel Traditional Oak,https://www.masterofmalt.com/whiskies/balvenie/balvenie-25-year-old-single-barrel-traditional-oak-whisky/,,,,,,,,,,,,,,
Glenfarclas 21 Year Old,https://www.masterofmalt.com/whiskies/glenfarclas-21-year-old-whisky/,," Apple, orange, less sherry than the 15yo. Peppermint again?!"," Incredibly smooth. Barley-rich, just a textbook smoothness and rounded character that leaves you gasping for another sip…"," Long, barley-rich, awesomely smooth, very little oak influence.",Scotch Whisky,Speyside Whisky,Glenfarclas,Glenfarclas,21 year old Whisky,,Single Malt Whisky,,43.0%,70cl
BenRiach Cask Strength - Batch 2,https://www.masterofmalt.com/whiskies/benriach/benriach-cask-strength-whisky/,," Fresh orange, sawdust, burnt sugar and prune."," Ginger root and mint, followed by peanut brittle and fennel.", Lasting brown sugar and raisin sweetness.,Scotch Whisky,Speyside Whisky,BenRiach,BenRiach,,,Single Malt Whisky,,60.6%,70cl
Glen Moray Classic Sherry Cask Finish,https://www.masterofmalt.com/whiskies/glen-moray/glen-moray-classic-sherry-cask-finish-whisky/,," Raisin and milk chocolate, with a backbone of butterscotch sweeties."," Cinnamon starts to develop on the palate, giving it an enjoyable warmth. Still rich in caramel and butterscotch."," Medium length, with a hint of five-spice.",Scotch Whisky,Speyside Whisky,Glen Moray,Glen Moray,,,Single Malt Whisky,,40.0%,70cl
Glenfiddich 40 Year Old - Rare Collection (Release Number 15),https://www.masterofmalt.com/whiskies/glenfiddich/glenfiddich-40-year-old-rare-collection-release-number-15-whisky/,," Beautifully rich and aromatic with layer upon layer of dried fruits, dark chocolate, roasted coffee and ripe black cherries. Occasional wafts of gentle wood smoke, polished leather and cloves."," Silky smooth and luxuriously mouth coating. The initial flavours are intense dried fruits, Christmas cake, dates, raisins and stewed apples. Over time slightly dryish oak notes appear with some bitter chocolate and just the merest hint of peat.", Incredibly long lasting and complex – a truly memorable experience.,Scotch Whisky,Speyside Whisky,Glenfiddich,Glenfiddich,40 year old Whisky,,Single Malt Whisky,,47.8%,70cl
